product_id,product_name,product_type,unit,price_unit,wholesale,current_inventory
1,strawberry,produce,lb,3.28,1.77,13
2,apple_fuji,produce,lb,1.44,0.43,2
3,orange,produce,lb,1.02,0.37,2
4,clementines,produce,lb,1.19,0.44,44
5,blood_orange,produce,lb,3.86,1.66,19
6,blood_lime,produce,lb,1.69,0.91,10
7,tayberry,produce,lb,2.54,0.89,25
8,pluot,produce,lb,3.99,1.44,26
9,tangelo,produce,lb,0.96,0.56,32
10,pomello,produce,lb,0.96,0.57,33
11,pineberry,produce,lb,4.89,2,42
12,vegan_egg_substitute,dairy,oz,1.15,0.58,41
13,asparagus_water,beverages,fl_oz,0.38,0.21,42
14,falafel_chips,snacks,oz,0.53,0.29,2
15,sweet_potato_hockey_pucks,snacks,oz,0.43,0.17,35
16,arugula_crisps,snacks,oz,2.43,1.19,32
17,bottled_organic_air,other,cubic_ft,2.67,0.96,38
18,chia_seeds,dry_goods,oz,0.67,0.36,30
19,all_natural_cheese_poofs,snacks,oz,0.41,0.16,13
20,sriracha_popcorn,snacks,oz,1.11,0.37,26
21,buttermilk_pancake_crunchies,snacks,oz,2.59,1.24,21
22,smoked_trout,meat,lb,19.59,9.01,3
23,pine_nuts,dry_goods,oz,0.91,0.3,42
24,dried_apricots,dry_goods,oz,0.56,0.26,34
25,smoked_salmon,meat,lb,39.99,20,5
26,green_juice,beverages,fl_oz,0.25,0.13,15
27,celery_foam,other,fl_oz,6,4.29,7
28,protein_powder,dry_goods,oz,0.69,0.33,2
29,asiago_cheese,dairy,oz,0.63,0.25,20
30,camembert_cheese,dairy,oz,0.91,0.54,15
31,almond_nut_thins,snacks,oz,0.61,0.21,20
32,arugula,produce,lb,2.99,1.05,10
33,white_bean_and_basil_hummus,canned_jarred_goods,oz,0.97,0.55,2
34,edamame_hummus,canned_jarred_goods,oz,0.95,0.35,13
35,eggplant_caponata,frozen,oz,1.39,0.74,25
36,olive_tapanade,canned_jarred_goods,oz,1.12,0.57,36
37,chocolate_ganache_torte,frozen,oz,3.52,1.09,40
38,pork_gyoza,frozen,oz,1.19,0.65,31
39,table_wafers,snacks,oz,0.59,0.21,32
40,vegetable_gyoza,frozen,oz,1.17,0.6,28
41,frozen_tamales,frozen,oz,1.09,0.58,23
42,porchini_mushrooms,produce,lb,5.99,3.41,44
43,garlic_naan,bread,oz,0.99,0.36,38
44,frozen_clams,frozen,oz,4.99,2.54,39
45,butter_chicken,frozen,oz,1.29,0.57,4
46,frozen_salmon,frozen,oz,16.99,9.17,5
47,paneer,dairy,oz,1.17,0.66,43
48,organic_mung_beans,dry_goods,oz,0.89,0.31,17
49,silken_tofu,dairy,oz,0.67,0.33,16
50,white_cheddar,dairy,oz,0.77,0.36,24
51,english_cheddar,dairy,oz,0.89,0.53,15
52,cranberry_infused_goat_cheese,dairy,oz,1.79,0.72,15
53,black_pepper_goat_cheese,dairy,oz,1.69,0.63,11
54,aged_gouda,dairy,oz,1.23,0.69,38
55,parmigiano_reggiano,dairy,oz,1.1,0.39,30
56,organic_glazed_walnuts,dry_goods,oz,0.86,0.4,11
57,kumatos,produce,lb,3.6,1.19,20
58,pumpkin_spice_pumpkin_seeds,dry_goods,oz,0.96,0.45,19
59,medjool_dates,produce,oz,4.29,1.37,21
60,satsuma_oranges,produce,lb,2.06,0.87,39
61,grapefruits,produce,lb,0.55,0.22,15
62,goji_berries,dry_goods,oz,1.17,0.56,19
63,organic_garlic,produce,lb,3.57,1.32,24
64,white_onions,produce,lb,1.22,0.44,2
65,purple_onions,produce,lb,1.32,0.45,20
66,yellow_onions,produce,lb,1.12,0.44,11
67,barberries,dry_goods,oz,1.74,0.87,34
68,salmonberries,produce,lb,0.67,0.29,11
69,wholewheat_couscous,dry_goods,oz,0.27,0.09,20
70,orzo,dry_goods,oz,0.19,0.1,3
71,autumn_pilaf,dry_goods,oz,0.24,0.11,42
72,wild_rice,dry_goods,oz,0.27,0.16,12
73,cheddar_corn_sticks,snacks,oz,0.69,0.32,14
74,poppy_onion_sesame_sticks,snacks,oz,0.75,0.4,44
75,rice_crackers,snacks,oz,0.57,0.3,0
76,cheddar_whales,snacks,oz,0.69,0.24,35
77,sugar_snap_peas,produce,lb,2.67,1.52,11
78,garam_masala,dry_goods,oz,1.44,0.49,40
79,darjeeling_black_tea,dry_goods,oz,3.3,1.39,15
80,rooibos_tea,dry_goods,oz,3.49,1.85,0
81,irish_breakfast_black_tea,dry_goods,oz,2.99,1.7,40
82,mango_black_tea,dry_goods,oz,3.08,1.29,22
83,soy_ginger_trail_mix,snacks,oz,0.39,0.22,30
84,buckwheat_flour,dry_goods,lb,2.59,1.22,2
85,cranberry_milk,beverages,fl_oz,0.08,0.04,36
